employee_guid,first_name,last_name,email,job_guid,job_title,job_is_tipped
2ccbc815-e1a8-409f-a080-e587e134cc16,Jordan,Bailey,94d97eb3-baca-49bc-b827-4958e6c10037@example.com,,,
4f4d451c-3fbe-4d06-b711-2e05acee2c01,Sierrah,Bartz,fcfbfb0e-a419-4e78-a4b1-2069404fc538@example.com,,,
4f4d451c-3fbe-4d06-b711-2e05acee2c01,Sierrah,Bartz,fcfbfb0e-a419-4e78-a4b1-2069404fc538@example.com,,,
4f4d451c-3fbe-4d06-b711-2e05acee2c01,Sierrah,Bartz,fcfbfb0e-a419-4e78-a4b1-2069404fc538@example.com,,,
4f4d451c-3fbe-4d06-b711-2e05acee2c01,Sierrah,Bartz,fcfbfb0e-a419-4e78-a4b1-2069404fc538@example.com,,,
4f4d451c-3fbe-4d06-b711-2e05acee2c01,Sierrah,Bartz,fcfbfb0e-a419-4e78-a4b1-2069404fc538@example.com,,,
88225c38-625f-4165-85fc-de4145eabba6,Tony,Beliel,bfcb466e-5823-41dd-b817-ad39a8a229f0@example.com,,,
88225c38-625f-4165-85fc-de4145eabba6,Tony,Beliel,bfcb466e-5823-41dd-b817-ad39a8a229f0@example.com,,,
88225c38-625f-4165-85fc-de4145eabba6,Tony,Beliel,bfcb466e-5823-41dd-b817-ad39a8a229f0@example.com,,,
88225c38-625f-4165-85fc-de4145eabba6,Tony,Beliel,bfcb466e-5823-41dd-b817-ad39a8a229f0@example.com,,,
88225c38-625f-4165-85fc-de4145eabba6,Tony,Beliel,bfcb466e-5823-41dd-b817-ad39a8a229f0@example.com,,,
9f67f0c1-b4fd-4649-954d-a709699d2410,Jillian,Boyert,66830842-c2eb-48a3-9606-006c82405555@example.com,,,
9f67f0c1-b4fd-4649-954d-a709699d2410,Jillian,Boyert,66830842-c2eb-48a3-9606-006c82405555@example.com,,,
9f67f0c1-b4fd-4649-954d-a709699d2410,Jillian,Boyert,66830842-c2eb-48a3-9606-006c82405555@example.com,,,
9f67f0c1-b4fd-4649-954d-a709699d2410,Jillian,Boyert,66830842-c2eb-48a3-9606-006c82405555@example.com,,,
9f67f0c1-b4fd-4649-954d-a709699d2410,Jillian,Boyert,66830842-c2eb-48a3-9606-006c82405555@example.com,,,
2e3e8522-112a-4bd4-94c1-e5b50473647e,Alex,Cheatham,b687d443-0eda-41fc-a97a-d5c1d7061bf4@example.com,,,
2e3e8522-112a-4bd4-94c1-e5b50473647e,Alex,Cheatham,b687d443-0eda-41fc-a97a-d5c1d7061bf4@example.com,,,
3e3480d2-2348-464a-81bc-5eeed7482b91,Zoey,Dixon,92b1e9a9-8567-4b4c-9ba9-447296fafe3c@example.com,,,
133a0147-f398-430c-9461-bdc06a4f80ea,Chloe,Emley,b80a0c9d-8efd-4eb4-a3b5-3b491026e068@example.com,,,
133a0147-f398-430c-9461-bdc06a4f80ea,Chloe,Emley,b80a0c9d-8efd-4eb4-a3b5-3b491026e068@example.com,,,
133a0147-f398-430c-9461-bdc06a4f80ea,Chloe,Emley,b80a0c9d-8efd-4eb4-a3b5-3b491026e068@example.com,,,
133a0147-f398-430c-9461-bdc06a4f80ea,Chloe,Emley,b80a0c9d-8efd-4eb4-a3b5-3b491026e068@example.com,,,
133a0147-f398-430c-9461-bdc06a4f80ea,Chloe,Emley,b80a0c9d-8efd-4eb4-a3b5-3b491026e068@example.com,,,
86c90e93-d5ac-4214-9b28-cd5837572cf0,Kyler,Gabriel,c3390018-b3aa-400e-91b5-650d4693cd5f@example.com,,,
86c90e93-d5ac-4214-9b28-cd5837572cf0,Kyler,Gabriel,c3390018-b3aa-400e-91b5-650d4693cd5f@example.com,,,
86c90e93-d5ac-4214-9b28-cd5837572cf0,Kyler,Gabriel,c3390018-b3aa-400e-91b5-650d4693cd5f@example.com,,,
86c90e93-d5ac-4214-9b28-cd5837572cf0,Kyler,Gabriel,c3390018-b3aa-400e-91b5-650d4693cd5f@example.com,,,
86c90e93-d5ac-4214-9b28-cd5837572cf0,Kyler,Gabriel,c3390018-b3aa-400e-91b5-650d4693cd5f@example.com,,,
86c90e93-d5ac-4214-9b28-cd5837572cf0,Kyler,Gabriel,c3390018-b3aa-400e-91b5-650d4693cd5f@example.com,,,
06576cce-ab13-410c-8d19-877d786cd202,Kelly,Hooper,95ac7564-be38-4528-9559-06a15804e061@example.com,,,
06576cce-ab13-410c-8d19-877d786cd202,Kelly,Hooper,95ac7564-be38-4528-9559-06a15804e061@example.com,,,
06576cce-ab13-410c-8d19-877d786cd202,Kelly,Hooper,95ac7564-be38-4528-9559-06a15804e061@example.com,,,
